CIUDAD;DEPARTAMENTO;ACUERDO DE OBRA;INSTITUCIÓN EDUCATIVA;FECHA INICIO F1;TIPO DE INTERVENCION;FECHA FIN F1;VALOR INICIAL F1;VALOR ADICIONADO REAL F1;VALOR FACTURADO REAL FASE 1;PLAZO FASE 1;FECHA FIN ULTIMO PRODUCTO F1;FECHA RADICACIÓN LICENCIA;FECHA EXPEDICIÓN LICENCIA;DIFERENCIA;DIF_TRASLA;FECHA ORDEN DE INICIO F2;PLAZO FASE OBRA (F2);VALOR INICIAL F2;VALOR ADICIONADO REAL F2;VALOR FACTURADO REAL F2;FECHA FIN F2 REAL;ESTADO ACTUAL F1;ESTADO ACTUAL F2;COMENTARIOS;AVANCE FASE 1;AVANCE FASE 2;PAGO ETAPA 1 F2;PAGO ETAPA 2 F2;PAGO ETAPA 3 F2;PAGO ETAPA 4 F2;PAGO ETAPA 5 F2;FECHA INI REAL F2 ETAPA 1;FECHA INI REAL F2 ETAPA 2;FECHA INI REAL F2 ETAPA 3;FECHA INI REAL F2 ETAPA 4;FECHA INI REAL F2 ETAPA 5;PLAZO ETAPA 1 F2;PLAZO ETAPA 2 F2;PLAZO ETAPA 3 F2;PLAZO ETAPA 4 F2;PLAZO ETAPA 5 F2;SUSPENSION TOTAL F2 ETAPA 1;SUSPENSION TOTAL F2 ETAPA 2;SUSPENSION TOTAL F2 ETAPA 3;SUSPENSION TOTAL F2 ETAPA 4;SUSPENSION TOTAL F2 ETAPA 5;PRORROGA TOTAL F2 ETAPA 1;PRORROGA TOTAL F2 ETAPA 2;PRORROGA TOTAL F2 ETAPA 3;PRORROGA TOTAL F2 ETAPA 4;PRORROGA TOTAL F2 ETAPA 5;AVANCE F2 ETAPA 1;AVANCE F2 ETAPA 2;AVANCE F2 ETAPA 3;AVANCE F2 ETAPA 4;AVANCE F2 ETAPA 5
Charalá;Santander;406049;IE Nacional José Antonio Galán ;27/09/2017;Ampliación;11/01/2018;8053996;0;;3.5;;16/04/2018;14/06/2018;;;;7;119035066;0;;;Terminado;No iniciado;;1;0;13093857.26;59398497.93;9522805.28;26782889.85;10237015.68;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Puerto Wilches;Santander;406050;IE Colegio Integrado;27/09/2017;Ampliación;11/01/2018;14988963;0;;3.5;;27/04/2018;;;;;8;165762124;0;;;Iniciado;No iniciado;;0.80155;0;18233833.64;82715299.88;13260969.92;37296477.9;14255542.66;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Sogamoso;Boyacá;406047;IE Nuestra Señora de Morcá;29/08/2017;Nuevo;14/12/2017;13043131;0;;3.5;;29/12/2017;;;;;8;168761718;0;;;Iniciado;No iniciado;;0.79615;0;18563788.98;84212097.28;13500937.44;37971386.55;14513507.75;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Sogamoso;Boyacá;406046;IE San Martín de Tours;30/08/2017;Nuevo;15/12/2017;15049940;0;;3.5;;30/12/2017;;;;;9;187466769;0;;;Iniciado;No iniciado;;0.68815;0;20621344.59;93545917.73;14997341.52;42180023.03;16122142.13;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Cimitarra;Santander;406051;IE Colegio Integrado El Carare;27/09/2017;Ampliación;11/01/2018;11386458;0;;3.5;;12/04/2018;;;;;8;130073687;0;;;Pendiente de licencia;No iniciado;;1;0;14308105.57;64906769.81;10405894.96;29266579.58;11186337.08;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Socorro;Santander;;IE Avelina Moreno Sede A;;Ampliación;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sabana de Torres;Santander;406052;Instituto Técnico Agropecuario;27/09/2017;Ampliación;12/12/2017;6164818;0;;2.5;;16/04/2018;;;;;7;122471472;0;;;Pendiente de licencia;No iniciado;;1;0;13471861.92;61113264.53;9797717.76;27556081.2;10532546.59;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Ventaquemada;Boyacá;402029;Puente de Piedra;16/02/2018;Nuevo;1/06/2018;8786135;0;;3.5;;;;;;;7;135471434;0;;;Sin información;No iniciado;;1;0;14901857.74;67600245.57;10837714.72;30481072.65;11650543.32;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Lebrija;Santander;;IE Nuestra Señora de las Mercedes;;Ampliación;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rionegro;Santander;;Fray Nepomuceno Ramos;;Ampliación;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
